pathogen_term,disease_term,text,Relationship,pathogen_synonyms,disease_synonyms
human adenovirus,sars,"PURPOSE OF REVIEW: An overview of epidemic, human adenovirus (HAdV) lung infections with proposed studies of the viral/host immune response interface to better understand mechanisms of immunopathogenesis, for development of improved responses to a potential HAdV pandemic. RECENT FINDINGS: Emergent HAdV strains 7, 3, 4, 14 are the most common types associated with infection outbreaks. Recent outbreaks have revealed increased community spread, beyond epidemic group settings. The ongoing circulation of these virulent HAdV strains might allow for further HAdV adaptation, with increased HAdV spread and disease severity in the population that could theoretically result in expansion to a pandemic level. SUMMARY: Public health screening has revealed spread of HAdV outbreak strains to the general community. Despite expanded awareness of viral respiratory diseases during the SARS-CoV-2 pandemic, there has been limited, systematic monitoring of HAdV infection in the population. The shift in clinical laboratories to a focus on molecular diagnostics and away from classical methods of viral characterization has reduced the distribution of outbreak HAdV strains to the research community to study mechanisms of pathogenesis. This change risks reduced development of new preventive and therapeutic strategies that could be needed in the event of more widespread HAdV epidemics.",no,Human adenovirus sp.|Human adenovirus,severe acute respiratory syndrome|sars|sars-cov infection
vesicular stomatitis virus,severe acute respiratory syndrome,"Positive-sense single-stranded RNA (+ssRNA) viruses, the most abundant viruses of eukaryotes in nature, require the synthesis of negative-sense RNA (-RNA) using their genomic (positive-sense) RNA (+RNA) as a template for replication. Based on current evidence, viral proteins are translated via viral +RNAs, whereas -RNA is considered to be a viral replication intermediate without coding capacity. Here, we report that plant and animal +ssRNA viruses contain small open reading frames (ORFs) in their -RNA (reverse ORFs [rORFs]). Using turnip mosaic virus (TuMV) as a model for plant +ssRNA viruses, we demonstrate that small proteins encoded by rORFs display specific subcellular localizations, and confirm the presence of rORF2 in infected cells through mass spectrometry analysis. The protein encoded by TuMV rORF2 forms punctuate granules that are localized in the perinuclear region and co-localized with viral replication complexes. The rORF2 protein can directly interact with the viral RNA-dependent RNA polymerase, and mutation of rORF2 completely abolishes virus infection, whereas ectopic expression of rORF2 rescues the mutant virus. Furthermore, we show that several rORFs in the -RNA of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) have the ability to suppress type I interferon production and facilitate the infection of vesicular stomatitis virus. In addition, we provide evidence that TuMV might utilize internal ribosome entry sites to translate these small rORFs. Taken together, these findings indicate that the -RNA of +ssRNA viruses can also have the coding capacity and that small proteins encoded therein play critical roles in viral infection, revealing a viral proteome larger than previously thought.",no,Vesicular stomatitis virus|vesicular stomatitis virus VSV|vesicular stomatitis virus,severe acute respiratory syndrome|sars|sars-cov infection
finegoldia magna,severe acute respiratory syndrome,"INTRODUCTION: Rhino-orbito-cerebral mucormycosis has been reported as a sequela after coronavirus disease in immunocompromised patients with poorly controlled diabetes mellitus. Most cases have been identified in India, with only 19 reported elsewhere. METHODOLOGY: We herein report the results of clinical, imaging, microbiological, and histopathological studies in an immunocompetent 67-year-old male with rhino-orbital infection by Finegoldia magna and Mucorales molds following severe SARS-CoV-2 disease associated with new-onset decompensated diabetes mellitus. RESULTS: Microbiological and histological studies confirmed the presence of both Mucorales molds and Finegoldia magna, which was successfully treated with antibiotics and a specific anti-fungal agent (Posaconazole). CONCLUSIONS: Careful multidisciplinary follow-up of patients treated for severe SARS-CoV-2 disease is necessary for the timely diagnosis of complications such as uncontrolled diabetes mellitus and opportunistic infections.",no,Finegoldia magna|Peptococcus magnus|Peptostreptococcus magnus|'Diplococcus magnus' Prevot 1933,severe acute respiratory syndrome|sars|sars-cov infection
human hepatitis c virus,severe acute respiratory syndrome,"The COVID-19 pandemic has highlighted the importance of identifying new potent antiviral agents. Nutrients as well as plant-derived substances are promising candidates because they are usually well tolerated by the human body and readily available in nature, and consequently mostly cheap to produce. A variety of antiviral effects have recently been described for the hop chalcone xanthohumol (XN), and to a lesser extent for its derivatives, making these hop compounds particularly attractive for further investigation. Noteworthy, mounting evidence indicated that XN can suppress a wide range of viruses belonging to several virus families, all of which share a common reproductive cycle. As a result, the purpose of this review is to summarize the most recent research on the antiviral properties of XN and its derivatives, with a particular emphasis on the positive-sense RNA viruses human hepatitis C virus (HCV), porcine reproductive and respiratory syndrome virus (PRRSV), and severe acute respiratory syndrome corona virus (SARS-CoV-2).",no,Hepacivirus hominis|human hepatitis C virus,severe acute respiratory syndrome|sars|sars-cov infection
vaccinia virus,sars,"Since the first cases were reported in Wuhan, China, COVID-19 has spread swiftly worldwide and is caused by SARS-CoV-2. The development of myocardial injury is associated with significantly worse clinical course and increased mortality. However, currently, it is unclear whether cardiac injury occurred in COVID-19 patients. Histological results obtained directly from the viral infection of the myocardium (i.e., SARS-CoV-2 viral myocarditis) or indirectly from the complications of COVID-19, showed that only a portion of patients infected with the virus developed viral myocarditis. Therefore, it is possible that with more autopsy evidence of SARS-CoV-2 and more correlation with the severity of the viral infection, viral myocarditis will emerge. Although COVID-19 manifests primarily as respiratory disease, few cases of cardiac injury without respiratory involvement or febrile illness have been reported. The pathogenesis of cancer and viral infections is due to the inability of the immune system to distinguish between self and non-self. Several oncogenic (hepatitis B virus, hepatitis C virus, human papilloma virus, Epstein-Barr virus, and HIV) and oncolytic viruses (coxsackievirus, reovirus, vaccinia virus, and adenovirus) are known to cause and regress various cancer types. We report a case of atypical manifestation of COVID-19-induced acute myocarditis and thyroid gland follicular neoplasm in a hemodialysis patient with no respiratory symptoms. This case illustrates that COVID-19 can present atypically and affect non-respiratory organ systems.",no,Vaccinia virus|vaccinia virus VV,severe acute respiratory syndrome|sars|sars-cov infection
streptococcus pneumoniae,sickle cell disease,"OBJECTIVES: To determine the prevalence of nasopharyngeal pneumococcus colonization in children with sickle cell disease undergoing penicillin prophylaxis, to identify risk factors for colonization and to serotype and determine antibiotic resistance in pneumococci obtained from those children. METHODS: Between April 9, 2002 and February 28, 2003, 188 nasopharyngeal swabs were obtained from 98 children with sickle cell disease in follow-up at the Hospital Sao Paulo-Universidade Federal de Sao Paulo. Pneumococci were isolated and identified by standard methods. The minimal inhibitory concentration for penicillin was determined by the E-test method. Isolates were serotyped with the use of type-specific antisera for 46 different serotypes (Neufeld-Quellung reaction). RESULTS: The age of children ranged from 4 months to 17 years (median and standard deviation 6.8-/+4.7 years). Thirteen of the 98 children had nasopharyngeal pneumococcus colonization (13.3% prevalence). There was a significantly greater risk of colonization among children less than 2 years old (p = 0.02). Twenty-one percent of isolates had intermediate penicillin resistance. There were no isolates highly resistant to penicillin. All isolates were susceptible to erythromycin, ceftriaxone, or vancomycin. The most frequently identified serotypes were 18C and 23F. CONCLUSIONS: Penicillin prophylaxis reduced pneumococcal nasopharyngeal colonization and did not increase the prevalence of penicillin-resistant pneumococci in children with sickle cell disease. Penicillin can be used not only for prophylaxis, but also in the acute management of febrile states with these children.",yes,Streptococcus pneumoniae|Diplococcus pneumoniae|Micrococcus pneumoniae,sickle cell disease
b virus,sickle cell disease,"OBJECTIVE: Some studies suggest that HIV infection progresses slowly in patients with sickle cell disease (SCD). The authors aimed to determine the relationships between SCD and HIV infection. METHODS: National Hospital Discharge Survey data from adult African-Americans in the period of 1997-2009 were analysed. The comorbidities of SCD with HIV infections in hospital discharges were analysed. Multiple logistic regression was used to test the association between SCD and HIV. For comparative purposes, the relationships of SCD with hepatitis B virus (HBV) and hepatitis C virus (HCV) were also assessed. RESULTS: 423,431 records were divided into two time periods 1997-2003 (53% of records) and 2004-2009 (47% of records). The frequency of HIV diagnosis was lower in patients with SCD (1.5% vs 3.3% in patients without SCD). In logistic regression, SCD diagnosis was associated with an OR of 0.24 (95% CI 0.18 to 0.32) for HIV diagnosis in the first period and with an OR of 0.31 (95% CI 0.22 to 0.42) in the second period. In contrast, SCD was associated with higher risk of HCV (OR=2.01, 95% CI 1.56 to 2.59 in the first period and OR=2.12, 95% CI 1.71 to 2.63 in the second period). SCD was also associated with a higher risk of HBV (OR=1.15, 95% CI 0.72 to 1.83 in the first period and OR=1.82, 95% CI 1.24 to 2.68 in the second period). CONCLUSIONS: The lower risk of HIV comorbidity, but not HCV and HBV, with SCD is consistent with the possibility that SCD has a unique effect in altering the risk of HIV infection or progression. Investigation of how the haemolytic and immunological changes of SCD influence HIV might lead to new therapeutic or preventive approaches.",yes,Simplexvirus macacinealpha1|B virus,sickle cell disease
human immunodeficiency virus,sickle cell disease,"In 1998, a clinical classification of pulmonary hypertension (PH) was established, categorizing PH into groups which share similar pathological and hemodynamic characteristics and therapeutic approaches. During the 5th World Symposium held in Nice, France, in 2013, the consensus was reached to maintain the general scheme of previous clinical classifications. However, modifications and updates especially for Group 1 patients (pulmonary arterial hypertension [PAH]) were proposed. The main change was to withdraw persistent pulmonary hypertension of the newborn (PPHN) from Group 1 because this entity carries more differences than similarities with other PAH subgroups. In the current classification, PPHN is now designated number 1. Pulmonary hypertension associated with chronic hemolytic anemia has been moved from Group 1 PAH to Group 5, unclear/multifactorial mechanism. In addition, it was decided to add specific items related to pediatric pulmonary hypertension in order to create a comprehensive, common classification for both adults and children. Therefore, congenital or acquired left-heart inflow/outflow obstructive lesions and congenital cardiomyopathies have been added to Group 2, and segmental pulmonary hypertension has been added to Group 5. Last, there were no changes for Groups 2, 3, and 4.",no,Human immunodeficiency virus,sickle cell disease
hepatitis b virus,sickle cell disease,"This descriptive and comparative review examines the changing epidemiology, treatment, renal and patient outcome of childhood nephrotic syndrome (NS) in tropical Africa (TpAfr). In the 1960s to 1980s, corticosteroid-resistant non-minimal change disease (nMCD) including quartan malaria nephropathy (QMN) was the dominant renal histopathology type. The overall incidence of NS was 0.35-1.34% of hospital admissions. Median age at onset of NS ranged between 4.0 and 12.0 years while the mean (SD) age range was 5.8 (3.8) to 10.3 (4.8) years across studies. The male: female ratio was 1.6:1.0. The overall mean (SD) incidence of idiopathic minimal change disease (MCD) [21.6 (18.6%)] compared with idiopathic nMCD [59.1 (25.7%)] demonstrates significant dominance of the latter (p = 0.0001). Post-1989, the following mean (SD) incidences of histopathological types were: MCD 20.4 (17.7%), focal segmental glomerulosclerosis 39.0 (26.3%), membranoproliferative glomerulonephritis 25.4 (16.8%), proliferative glomerulonephritis 16.7 (27.0%) and membranous nephropathy 7.4 (4.5%). While the mean (SD) proportion of steroid resistance (SR) [73.5 (19.2%)] was significantly greater than the mean complete remission (CR) [26.5 (19.2%)] during 1960-1989 (p=0.005), mean (SD) SR [27.4 (25.3%)] was significantly lower than mean (SD) CR [66.1 (28.0%)] post-1989 (p < 0.001). Unlike QMN, hepatitis B virus, HIV infection, sickle cell disease and systemic lupus erythematosus are now increasingly being associated with NS in TpAfr. Mean (SD) renal survival post-1989 was 58.3 (37.0%) while all-cause mortality was 9.8%. Children with NS now survive better than before, reflecting improved access to healthcare and transition to a clinical pattern favouring idiopathic NS and increased sensitivity to corticosteroids.",no,Hepatitis B virus|hepatitis B virus,sickle cell disease
plasmodium falciparum,sickle cell disease,"BACKGROUND: Fever accompanying vaso-occlusive crisis is a common presentation in patients with sickle cell disease (SCD) and carries a broad differential diagnosis. Here, we report a case of transfusion-transmitted malaria in a patient with SCD presenting with acute vaso-occlusive crisis and rapidly decompensating to multisystem organ failure (MSOF). CASE REPORT: An 18-year-old African American male with SCD was admitted after multiple days of fever and severe generalized body pain. He received monthly blood transfusions as stroke prophylaxis. A source of infection was not readily identified, but treatment was initiated with continuous intravenous fluids and empiric antibiotics. The patient developed acute renal failure, acute hypoxic respiratory failure, and shock. He underwent red blood cell (RBC) exchange transfusion followed by therapeutic plasma exchange and continuous veno-venous hemodialysis. A manual peripheral blood smear revealed intraerythrocytic inclusions suggestive of Plasmodium, and molecular studies confirmed Plasmodium falciparum infection. Intravenous artesunate was given daily for 1 week. A look-back investigation involving two hospitals, multiple blood suppliers, and state and federal public health departments identified the source of malaria as a unit of RBCs transfused 2 weeks prior to admission. CONCLUSIONS: Clinical suspicion for transfusion-related adverse events, including hemolytic transfusion reactions and transfusion-transmitted infections, should be high in typically and atypically immunocompromised patient populations (like SCD), especially those on chronic transfusion protocols. Manual blood smear review aids in the evaluation of patients with SCD presenting with severe vaso-occlusive crisis and MSOF and can alert clinicians to the need for initiating aggressive therapy like RBC exchange and artesunate therapy.",yes,Plasmodium falciparum|malaria parasite P. falciparum|Plasmodium  falciparum,sickle cell disease
blastomyces dermatitidis,silicosis,"Blastomyces dermatitidis is a thermally dimorphic fungus that can cause pulmonary, extrapulmonary, or disseminated infections. Though it can infect both immune-competent and immunocompromised hosts, the disease can be severe in immunocompromised hosts. Exposure to silica dust is associated with silicosis, and this is associated with impaired immunity and an increased risk of mycobacterial and fungal infections. The fungal infections commonly associated with pneumoconiosis are pulmonary aspergillosis, histoplasmosis, coccidioidomycosis, and cryptococcosis. However, there is a dearth of data on the association of pneumoconiosis and blastomycosis. Clinical deterioration and new cavitary lesions in patients with pneumoconiosis should alert clinicians of new pulmonary infection. Traditional sputum sampling may lead to poor diagnostic yield, because the organism is frequently surrounded by a fibrotic wall. Aggressive diagnostic testing with lung or skin biopsies may be warranted. We present the first reported case of disseminated blastomycosis in a patient with coalworkers' pneumoconiosis.",yes,Blastomyces dermatitidis|Blastomycoides dermatitidis|Ajellomyces dermatitidis,silicosis|pneumoconiosis due to silicates|silica pneumoconiosis|silicotuberculosis|silicotic fibrosis of lung
streptococcus pneumoniae,sickle cell disease,"BACKGROUND: Patients with homozygous sickle cell disease (HbSS) and clinical splenomegaly by 6 months of age appeared at greater risk of invasive infections after 5 years of the Jamaican Cohort Study. We determined whether this risk remained significant over a longer study period, using a more rigorous definition of infection and examining the contribution of potential confounders. METHODS: Newborn screening of 100,000 consecutive deliveries during 1973-1981 detected 311 births with HbSS. Age at first clinical splenomegaly was used to categorize 285 of these patients in whom this could be determined: at or before 7 months (early), after 7 months (later), or 'never' palpated despite repeated examinations. Infective episodes were confined to 'first infections confirmed by positive culture'. Using a generalized linear model, the risk of septicaemia was assessed in each group, after adjusting for potential confounders. RESULTS: Of 93 'first infections', 42 occurred in 105 subjects in the 'early' group, 49 in 157 subjects in the 'later' group, and two in 23 subjects in the 'never' group; the observed to expected ratio of 1.42, 0.90 and 0.22 was highly significant (p = .003). Assessed as risk ratios, 'early' splenomegaly had a significantly higher risk ratio (RR) for septicaemia (RR = 7.4, confidence interval [CI]: 1.1-50.7, p < .05) when compared to the 'never' group adjusting for vaccine exposure and foetal haemoglobin concentration. The most common organisms were Streptococcus pneumoniae, Salmonella species, Haemophilus influenzae and Staphylococcus aureus. CONCLUSION: Early clinical splenomegaly in HbSS remains a predictor of septicaemia, defining a group that may require closer monitoring.",yes,Streptococcus pneumoniae|Diplococcus pneumoniae|Micrococcus pneumoniae,sickle cell disease
janus,insulin resistance,"Tumor necrosis factor (TNF) alpha-induced adipose-related protein (TIARP) is a novel TNFalpha-stimulated protein in adipocytes. Besides TNFalpha, interleukin (IL)-6 has recently been shown to be another adipocytokine implicated in insulin resistance. Therefore, the impact of IL-6 on TIARP gene expression in 3T3-L1 adipocytes was determined by quantitative real-time reverse transcription-polymerase chain reaction. Interestingly, TIARP mRNA expression was stimulated up to 3.8-fold by IL-6 in a dose-dependent fashion with significant stimulation detectable at effector concentrations as low as 3 ng/ml and maximal effects seen at 100 ng/ml IL-6. Induction of TIARP mRNA by IL-6 was time-dependent with significant upregulation occurring as early as 2 h after effector addition and maximal effects observed at 4 h. In parallel, TIARP protein synthesis was upregulated with maximal effects seen after 8 h of IL-6 treatment. Furthermore, the Janus kinase 2 inhibitor AG490 decreased TIARP mRNA expression. The increase of TIARP mRNA could be reversed by withdrawal of IL-6 for 24 h. Furthermore, TIARP mRNA induction by IL-6 was also seen in brown adipocytes but not in muscle and liver cells. Taken together, these results show that TIARP is acutely regulated in adipose tissue not only by TNFalpha but also by IL-6 which has been shown to be another important cytokine implicated in the pathogenesis of insulin resistance.",no,janus,type 2 diabetes mellitus|non-insulin-dependent diabetes mellitus|insulin resistance|type 2 diabetes|niddm|type ii diabetes mellitus
hepatitis c virus,type 2 diabetes mellitus,"OBJECTIVES: Hepatitis C virus (HCV) monoinfection has been linked to type 2 diabetes mellitus (DM). We evaluated the effect of HCV on risk of DM in relation to traditional risk factors such as age, body mass index (BMI) and family history of DM in an HIV-infected population. METHODS: This was a retrospective, cross-sectional study of 1529 HIV-infected out-patients. An adjusted multivariate logistic regression was performed to assess the effect of HCV seropositivity on DM stratified by low and high propensity for DM based on age, BMI and family history. RESULTS: Race, age, BMI, family history and HCV were associated with DM. Use of protease inhibitors (PIs) was not associated with DM, but HIV/HCV-coinfected patients were less likely to be on PIs than those with HIV infection alone. In a multivariate analysis controlled for race, the association between HCV and DM was stronger in lean, young patients without a family history of DM; the low-risk group. No association between HCV and type 2 DM was seen in patients who were older or overweight or had a family history of DM; the high-risk group. PI use did not affect the association between HCV and DM. CONCLUSIONS: Hepatitis C is an independent risk factor for type 2 diabetes in young, lean, HIV-infected patients. HIV-infected patients with HCV infection, regardless of whether they are on PIs, should be carefully screened for DM even if traditional risk factors for DM are not present.",yes,Hepacivirus hominis|Hepatitis C virus,type 2 diabetes mellitus|non-insulin-dependent diabetes mellitus|insulin resistance|type 2 diabetes|niddm|type ii diabetes mellitus
hepatitis c virus,insulin resistance,"Chronic infection with hepatitis C virus (HCV) can induce insulin resistance (IR) in a genotype-dependent fashion, thus contributing to steatosis, progression of fibrosis and resistance to interferon therapy. The molecular mechanisms in genotype 1 patients that lead to metabolic syndrome are still ambiguous. Based on our current understanding, HCV proteins associate with mitochondria and endoplasmic reticulum and promote oxidative stress. The latter mediates signals involving the p38 mitogen-activated protein kinase and activates nuclear factor kappa B. This transcription factor plays a key role in the expression of cytokines, tumor necrosis factor alpha (TNF-alpha), interleukin 6, interleukin 8, tumor growth factor beta, and Fas ligand. TNF-alpha inhibits the function of insulin receptor substrates and decreases the expression of the glucose transporter and lipoprotein lipase in peripheral tissues, which is responsible for the promotion of insulin resistance. Furthermore, reduced adiponectin levels, loss of adiponectin receptors, and decreased anti-inflammatory peroxisome proliferator-activated receptor alpha in the liver of HCV patients may contribute to reduced fatty acid oxidation, inflammation, and eventually lipotoxicity. This chain of events may be initiated by HCV-associated IR and provides a direction for future research in the areas of therapeutic intervention.",yes,Hepacivirus hominis|Hepatitis C virus,type 2 diabetes mellitus|non-insulin-dependent diabetes mellitus|insulin resistance|type 2 diabetes|niddm|type ii diabetes mellitus
pseudomonas aeruginosa,tularemia,"Francisella tularensis causes the human disease tularemia. F. tularensis is able to survive and replicate within macrophages, a trait that has been correlated with its high virulence, but it is unclear the exact mechanism(s) this organism uses to escape killing within this hostile environment. F. tularensis virulence is dependent upon the Francisella pathogenicity island (FPI), a cluster of genes that we show here shares homology with type VI secretion gene clusters in Vibrio cholerae and Pseudomonas aeruginosa. We demonstrate that two FPI proteins, VgrG and IglI, are secreted into the cytosol of infected macrophages. VgrG and IglI are required for F. tularensis phagosomal escape, intramacrophage growth, inflammasome activation and virulence in mice. Interestingly, VgrG secretion does not require the other FPI genes. However, VgrG and other FPI genes, including PdpB (an IcmF homologue), are required for the secretion of IglI into the macrophage cytosol, suggesting that VgrG and other FPI factors are components of a secretion system. This is the first report of F. tularensis FPI virulence proteins required for intramacrophage growth that are translocated into the macrophage.",no,Pseudomonas aeruginosa|Micrococcus pyocyaneus|probable synonym or variety: 'Pseudomonas polycolor' Clara 1930|Bacterium pyocyaneum|Pseudomonas aeruginosa |Bacillus aeruginosus|Bacillus pyocyaneus|Pseudomonas polycolor|Pseudomonas pyocyanea|Bacterium aeruginosum,tularemia
hepatitis c virus,type 2 diabetes,"BACKGROUND/AIMS: Iron overload and hyperglycemia are common findings in patients with chronic hepatitis C (CHC). The aim of this study was to determine the relation of serum ferritin and hepatic hepcidin expression with glucose metabolic parameters and to evaluate whether long term phlebotomy lowers the risk of new-onset diabetes in CHC patients. METHODOLOGY: Hepatic hepcidin mRNA expression was measured in 28 CHC patients and their relation with clinical parameters and histological findings was evaluated. Ninety-two patients without type 2 diabetes were divided into two groups: a phlebotomy group underwent an initial period of phlebotomy and maintenance phlebotomy was performed; data obtained in CHC patients that declined to receive phlebotomy were used as control. RESULTS: Hepatic hepcidin expression was positively correlated with body mass index and glucose metabolic parameters. A total number of five patients had onset of type 2 diabetes over 38.9 months of follow-up. Long-term phlebotomy tended to lower the risk of new-onset diabetes compared with control CHC patients. In addition, high ferritin levels predicted further episodes of diabetes in control patients. CONCLUSIONS: Iron overload is a risk for the development of diabetes in patients with CHC and that reduction of body iron stores lowers this risk.",yes,Hepacivirus hominis|Hepatitis C virus,type 2 diabetes mellitus|non-insulin-dependent diabetes mellitus|insulin resistance|type 2 diabetes|niddm|type ii diabetes mellitus
human immunodeficiency virus,insulin resistance,"Pancreatic cancer (PC) will affect 48,960 persons in the United States and will result in 40,560 deaths in 2015, according to the American Cancer Society. On a global basis, at least 337,000 persons will be diagnosed with PC. The incidence of PC has increased slightly in the United States, though worldwide cases are likely to increase substantially due to the influence of cigarette smoking, rising obesity and type II diabetes. The development of PC is related to a state of chronic inflammation and insulin resistance. Well-established environmental and personal risk factors for PC include advancing age, cigarette smoking, second-hand tobacco smoke exposure, obesity, inherited familial cancer syndromes, Ashkenazi Jewish heritage, chronic pancreatitis, dietary factors, and diabetes. Other identified associations are human immunodeficiency virus infection, ABO blood group polymorphisms, hepatitis B virus, and Helicobacter pylori.",no,Human immunodeficiency virus,type 2 diabetes mellitus|non-insulin-dependent diabetes mellitus|insulin resistance|type 2 diabetes|niddm|type ii diabetes mellitus
hepacivirus hominis,type 2 diabetes mellitus,"INTRODUCTION: Oxidative stress and cytokines play an important role in the pathogenesis of nonalcoholic fatty liver disease (NAFLD). We compared the presence of oxidative stress and cytokines in 25 patients with NAFLD with 25 age, sex and BMI-matched patients with chronic viral hepatitis (CVH) and 25 healthy volunteers (HV). METHODOLOGY: Oxidative stress was studied biochemically by markers of lipid peroxidation and biochemical assessment of anti-oxidant status and various cytokines were studied by ELISA. RESULTS: Patients with NAFLD had significantly higher levels of malondialdehyde (MDA) (p = 0.000) and conjugated dienes (CD) (p = 0.000) in comparison to HVs. Patients with NAFLD also had significantly higher MDA levels (p = 0.000) in comparison to CVH patients. Patients with NAFLD had significantly lower GSH levels (p = 0.004) in comparison to HVs. Patients with NAFLD had higher GPx activity (p = 0.028) in comparison to HVs. Catalase activity was significantly decreased in both NAFLD (p = 0.001) and CVH patients (p = 0.000) in comparison to HVs. Patients with NAFLD had significantly higher SOD activity (p = 0.000) in comparison to CVH patients. There was no difference in serum levels of IL-1beta and TNF-alpha amongst three groups. Patients with CVH were found to have higher IL-8 serum levels (p = 0.039) in comparison to HVs. CVH patients also had higher TGF-beta levels (p = 0.002) in comparison to both NAFLD patients and HVs. CONCLUSION: Differences in the markers of oxidative stress and anti-oxidant status between NAFLD, CVH and healthy volunteers suggest presence of higher oxidative stress in patients with NAFLD.",no,Hepacivirus hominis|human hepatitis C virus HCV|Hepatitis C virus|Hepacivirus C|human hepatitis virus C HCV|hepatitis C virus HCV|human hepatitis C virus|post-transfusion hepatitis non A non B virus,type 2 diabetes mellitus|non-insulin-dependent diabetes mellitus|insulin resistance|type 2 diabetes|niddm|type ii diabetes mellitus
ebola virus,typhoid fever,"BACKGROUND: The largest-ever outbreak of Ebola virus disease (EVD), ongoing in West Africa since late 2013, has led to export of cases to Europe and North America. Clinicians encountering ill travelers arriving from countries with widespread Ebola virus transmission must be aware of alternate diagnoses associated with fever and other nonspecific symptoms. OBJECTIVE: To define the spectrum of illness observed in persons returning from areas of West Africa where EVD transmission has been widespread. DESIGN: Descriptive, using GeoSentinel records. SETTING: 57 travel or tropical medicine clinics in 25 countries. PATIENTS: 805 ill returned travelers and new immigrants from Sierra Leone, Liberia, or Guinea seen between September 2009 and August 2014. MEASUREMENTS: Frequencies of demographic and travel-related characteristics and illnesses reported. RESULTS: The most common specific diagnosis among 770 nonimmigrant travelers was malaria (n = 310 [40.3%]), with Plasmodium falciparum or severe malaria in 267 (86%) and non-P. falciparum malaria in 43 (14%). Acute diarrhea was the second most common diagnosis among nonimmigrant travelers (n = 95 [12.3%]). Such common diagnoses as upper respiratory tract infection, urinary tract infection, and influenza-like illness occurred in only 26, 9, and 7 returning travelers, respectively. Few instances of typhoid fever (n = 8), acute HIV infection (n = 5), and dengue (n = 2) were encountered. LIMITATION: Surveillance data collected by specialist clinics may not be representative of all ill returned travelers. CONCLUSION: Although EVD may currently drive clinical evaluation of ill travelers arriving from Sierra Leone, Liberia, and Guinea, clinicians must be aware of other more common, potentially fatal diseases. Malaria remains a common diagnosis among travelers seen at GeoSentinel sites. Prompt exclusion of malaria and other life-threatening conditions is critical to limiting morbidity and mortality. PRIMARY FUNDING SOURCE: Centers for Disease Control and Prevention.",no,Orthoebolavirus taiense|Ebola virus,typhoid fever|typhoid
treponema denticola,type 2 diabetes mellitus,"Periodontitis and type 2 diabetes mellitus are known to be associated. The relationship between periodontal microbiota and early diabetes risk has not been studied. We investigated the association between periodontal bacteria and prediabetes prevalence among diabetes-free adults. ORIGINS (the Oral Infections, Glucose Intolerance and Insulin Resistance Study) cross sectionally enrolled 300 diabetes-free adults aged 20 to 55 y (mean +/- SD, 34 +/- 10 y; 77% female). Prediabetes was defined as follows: 1) hemoglobin A1c values ranging from 5.7% to 6.4% or 2) fasting plasma glucose ranging from 100 to 125 mg/dL. In 1,188 subgingival plaque samples, 11 bacterial species were assessed at baseline, including Aggregatibacter actinomycetemcomitans, Porphyromonas gingivalis, Treponema denticola, Tannerella forsythia, and Actinomyces naeslundii. Full-mouth clinical periodontal examinations were performed, and participants were defined as having no/mild periodontitis vs. moderate/severe periodontitis per the definition of the Centers for Disease Control and Prevention / American Academy of Periodontology. Modified Poisson regression evaluated prediabetes prevalence across bacterial tertiles. Prevalence ratios and 95% confidence intervals for third vs. first tertiles are presented. All analyses were adjusted for cardiometabolic risk factors. All results presented currently arise from the baseline cross section. Prediabetes prevalence was 18%, and 58% of participants had moderate/severe periodontitis. Prevalence ratios (95% confidence intervals) summarizing associations between bacterial levels and prediabetes were as follows: A. actinomycetemcomitans, 2.48 (1.34, 4.58), P = 0.004; P. gingivalis, 3.41 (1.78, 6.58), P = 0.0003; T. denticola, 1.99 (0.992, 4.00), P = 0.052; T. forsythia, 1.95 (1.0, 3.84), P = 0.05; A. naeslundii, 0.46 (0.25, 0.85), P = 0.01. The prevalence ratio for prediabetes among participants with moderate/severe vs. no/mild periodontitis was 1.47 (0.78, 2.74), P = 0.23. Higher colonization levels of specific periodontal microbiota are associated with higher prediabetes prevalence among diabetes-free adults.",yes,Treponema denticola|Spirochaeta microdentium|Spironema dentium|Treponema comandonii|Spirochaete denticola|Spirochaete dentium|Treponema orthodontum|Spirillum dentium|Spirochaeta comandonii|Treponema dentium|Spirochaeta ambigua|Treponema ambiguum|Treponema microdentium|Spirochaeta orthodonta|Spirochaeta dentium|Treponema dentium-stenogyratum,type 2 diabetes mellitus|non-insulin-dependent diabetes mellitus|insulin resistance|type 2 diabetes|niddm|type ii diabetes mellitus
